year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cabo Verde - CPV,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Seychelles - SYC,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,427421.75,107962.953125,744405.625,176051.75,56732.05859375,2609.623046875,493083.34375,3038.9130859375,15974.6572265625,655.4342651367188,398822.3125,2532.529052734375,5961.86376953125,1068.1414794921875,12699.3349609375,935613.6875,5884.20703125,3403.709716796875,81192.875,1791852.125,38443.87890625,342670.6875,2342.70556640625,2412.675537109375,11994.892578125,2360.61865234375,26407.201171875,55621.58984375,221992.9375,30189.70703125,56692.00390625,7191.47900390625,1675.3074951171875,7395.044921875,833.4459838867188,196015.0,2359593.5,3529.660888671875,978.1148071289062,3471944.25,110673.765625,244330.1875,16516.21875,6154.24560546875,468.7174987792969,19286.576171875,6690.5068359375,10428.3994140625,1121514.75,344190.28125,225774.078125,44175.8046875,82010.375,1601015.375,26185.31640625,1391797.5,2882.5439453125,32650.291015625,1556.073974609375,31581.95703125,12392.017578125,1569.4898681640625,95610.609375,703.0728149414062,2060.918701171875,6736.24658203125,3540.836669921875,613234.25,23754.390625,3103.341796875,3680.083251953125,3872.3408203125,661012.0,82054.8359375,13931.111328125,43356.06640625,335412.125,218959.03125,52180.33984375,5187.4951171875,5992.466796875,44250.4921875,150886.90625,100084.7421875,208509.84375,56913.5859375,446.21295166015625,30968.703125,572.9166870117188,14719.8408203125,243923.53125,582646.5625,33274.03125,407115.96875,575924.375,36340.5859375,52547.88671875,74384.265625,7088.22314453125,8707.126953125,14382.1142578125,328227.65625,20441.685546875,6612.50048828125,2213328.75,14712712.0,33385.453125,194938.21875,15894.5966796875,14725.1806640625
1961-01-01,442648.28125,116128.4765625,760936.625,185864.640625,56247.35546875,2683.718017578125,510327.09375,3335.514404296875,16390.7734375,663.8343505859375,423113.625,2556.6904296875,5860.9560546875,1178.044189453125,13109.63671875,970473.125,6146.9443359375,3703.778564453125,85708.7421875,1982435.5,40874.046875,364123.5,2394.006103515625,2992.394287109375,12572.9755859375,2880.299560546875,27019.109375,56113.390625,233904.828125,25229.55078125,59837.48046875,7535.6220703125,1777.490966796875,7973.35400390625,1048.2652587890625,210045.953125,2471934.0,3970.589111328125,991.8030395507812,3761843.5,115290.90625,253719.359375,16964.6875,6514.38134765625,598.9490356445312,19190.416015625,6865.529296875,10943.4892578125,1205194.25,343927.9375,240088.375,45800.421875,87726.484375,1713169.375,27129.11328125,1554677.0,3148.87158203125,32909.203125,1509.019775390625,33111.9296875,12239.484375,1684.9696044921875,99279.4375,785.9515380859375,2143.787109375,8001.1025390625,3713.99365234375,645170.1875,23826.322265625,3272.101318359375,3947.474365234375,3953.762939453125,697215.1875,86216.359375,14620.240234375,42443.58984375,364292.71875,226366.734375,58263.9140625,5600.859375,6308.28564453125,46172.07421875,158168.03125,108607.6640625,207266.953125,59990.421875,467.83721923828125,30297.5234375,587.6660766601562,15322.1923828125,253661.4375,617556.125,34562.32421875,426623.5625,608051.8125,37436.31640625,56138.7734375,78611.71875,6949.02490234375,9329.490234375,14647.5703125,348035.96875,21271.529296875,6932.0966796875,2321153.5,15205822.0,35059.40234375,199219.0625,16091.8212890625,14536.0908203125
1962-01-01,445302.75,122319.6796875,788224.25,194055.828125,57066.6640625,2752.3095703125,528789.3125,3615.999755859375,17562.8203125,682.8320922851562,448707.71875,2599.7138671875,5811.216796875,1241.3582763671875,13545.306640625,1013021.125,6426.0810546875,3926.592529296875,88507.40625,2175005.5,44550.69921875,384377.59375,2541.078369140625,3236.515625,13270.16015625,3166.839111328125,28420.6484375,56208.1015625,247596.65625,30287.41015625,62949.23046875,7979.4775390625,1873.5025634765625,8587.4326171875,1192.1151123046875,223127.703125,2607006.5,4410.4365234375,1024.6070556640625,4054282.5,118856.4140625,261935.890625,17447.642578125,7052.6376953125,734.3379516601562,19246.90234375,7196.7998046875,11365.0966796875,1288415.0,343962.6875,258727.5,47818.78125,94146.0234375,1836715.0,27945.4609375,1724161.75,3451.2119140625,33210.62109375,1487.5068359375,34713.4921875,12030.236328125,1736.64208984375,104711.375,864.0835571289062,2229.549560546875,9579.0498046875,3845.431640625,687700.3125,24375.484375,3431.324462890625,4247.11767578125,4054.61376953125,735871.6875,89740.7421875,15668.365234375,42162.61328125,391371.8125,232861.734375,65377.91796875,6086.716796875,6488.298828125,48500.125,165005.53125,115888.421875,210339.078125,63145.6328125,502.1447448730469,29611.107421875,609.349853515625,15969.908203125,262053.234375,664095.375,35908.65625,446013.75,639280.25,39477.984375,59876.93359375,85019.921875,6872.10791015625,10050.0234375,15236.306640625,368767.1875,21997.396484375,7279.90087890625,2411722.75,15760120.0,37142.35546875,204590.21875,16307.787109375,14285.509765625
1963-01-01,450132.5,126199.7578125,821048.875,201935.828125,57206.3828125,2833.7431640625,546129.625,3921.016845703125,18504.517578125,709.2528076171875,468471.25,2631.8828125,5734.49462890625,1262.609375,14002.197265625,1057995.0,6658.7236328125,4242.126953125,91630.390625,2330940.25,49887.25390625,398937.40625,2678.10498046875,3319.391357421875,13933.814453125,3633.450439453125,29519.703125,58694.8828125,257979.4375,31482.17578125,65959.71875,8579.427734375,1983.4688720703125,9219.9951171875,1361.0096435546875,233477.765625,2754425.0,4732.3203125,1043.919921875,4326043.0,124549.21875,275158.125,18329.087890625,7304.95703125,855.8296508789062,19318.900390625,7604.91748046875,12089.8408203125,1376057.5,340705.4375,279381.40625,50198.98828125,100377.71875,1964864.25,28700.291015625,1908800.875,3722.95263671875,33747.49609375,1484.42626953125,36058.8515625,11983.6201171875,1810.491943359375,110193.546875,950.6495971679688,2321.9296875,10332.5703125,4005.417724609375,738260.1875,25221.52734375,3599.357177734375,4563.53955078125,4212.7236328125,772982.6875,93887.5078125,16810.83984375,42312.72265625,421332.84375,239188.65625,74524.8828125,6633.4384765625,6712.306640625,50465.55859375,174680.0,124861.46875,216544.28125,67712.0859375,525.2703857421875,29164.939453125,635.2969360351562,17296.498046875,275673.71875,714692.0625,37469.359375,465643.40625,668335.0,40748.67578125,64720.125,93428.2265625,6858.45947265625,10544.7353515625,15988.4306640625,392947.6875,22663.654296875,7791.81396484375,2505909.25,16361780.0,37752.40234375,209886.796875,16352.9619140625,14025.4921875
1964-01-01,450439.875,132449.8125,863141.0,213113.4375,57981.32421875,2907.7236328125,570719.375,4164.5751953125,19555.126953125,751.749755859375,491716.59375,2667.355224609375,5654.89306640625,1287.300048828125,14528.455078125,1108540.75,6899.78466796875,4536.30224609375,98855.234375,2329583.0,55723.203125,421796.53125,2873.3408203125,3375.20361328125,14398.013671875,4370.60546875,29953.11328125,61471.73046875,273840.625,32845.66015625,69023.7578125,9221.05859375,2188.397216796875,9795.068359375,1555.9473876953125,245000.109375,2922095.25,4993.3056640625,1079.5611572265625,4642467.0,131639.9375,291509.71875,19491.986328125,7611.4775390625,979.9309692382812,19374.455078125,7980.2333984375,13100.94921875,1491483.25,338604.375,309726.78125,52902.1875,109145.3359375,2072232.0,29782.044921875,2124066.25,4101.98974609375,34045.0546875,1493.349609375,37707.0546875,11994.1708984375,1836.27490234375,115670.5,1082.4388427734375,2466.06298828125,10583.9091796875,4068.984130859375,792814.5,25763.427734375,3780.67431640625,4890.39990234375,4570.0185546875,821497.5,99115.9921875,18493.8984375,42248.15625,458603.5625,245697.859375,84087.375,7086.78466796875,6865.47900390625,52420.37890625,185656.0,134186.859375,219601.890625,71251.96875,542.3363647460938,28826.12890625,663.9666748046875,18308.306640625,292409.03125,768951.125,38832.9765625,489226.71875,700817.5625,42353.87890625,69894.3046875,101567.6640625,7061.1142578125,11009.5234375,16863.349609375,416716.5625,24185.11328125,8599.34765625,2653347.0,17023988.0,40190.36328125,219601.265625,16277.0869140625,13794.0986328125
1965-01-01,450845.125,138598.109375,896798.375,222430.609375,59041.6953125,2995.432861328125,593424.5,4371.02587890625,20358.35546875,740.9678344726562,518771.3125,2761.04638671875,5589.01025390625,1326.7559814453125,15572.6171875,1174878.25,7110.14453125,4706.51708984375,104702.6796875,2359875.25,62207.33984375,435952.84375,3115.18115234375,3462.334228515625,15193.4091796875,5022.8876953125,30989.5390625,64066.234375,290902.28125,28435.37109375,71951.15625,9988.5654296875,2353.50244140625,10433.6513671875,1742.0362548828125,260626.59375,3081999.75,5230.0595703125,1136.4847412109375,4970591.5,138000.828125,312465.0,20599.111328125,7993.0849609375,1079.8043212890625,19413.48828125,8397.9765625,14188.615234375,1602789.625,335844.65625,345339.71875,55996.296875,117312.203125,2158284.0,30981.59765625,2335509.5,4505.40576171875,34364.25,1515.308349609375,38993.3203125,11971.3916015625,1970.6363525390625,121508.8046875,1169.085693359375,2592.37158203125,10816.5634765625,4201.58740234375,862309.875,26410.78515625,3995.06005859375,5287.162109375,4839.224609375,870308.5625,105895.34375,20422.990234375,41884.68359375,511760.59375,254642.21875,95559.546875,7608.30712890625,7260.60595703125,54710.63671875,196763.53125,145206.421875,224119.6875,75075.4140625,569.1563110351562,28509.474609375,694.23876953125,19600.923828125,312374.375,830781.9375,39847.28515625,515626.0,727991.0,43386.7265625,76687.5625,110519.0,7357.72607421875,11667.45703125,17701.751953125,438745.8125,26051.25,9285.7001953125,2792216.75,17752794.0,40542.98828125,228996.640625,16898.693359375,13618.17578125
1966-01-01,447855.46875,144098.46875,931355.6875,235490.78125,60235.875,3081.101318359375,618952.3125,4588.28369140625,21190.494140625,805.0151977539062,548364.9375,2851.427978515625,5570.9462890625,1392.2637939453125,16863.228515625,1245910.5,7313.9755859375,4931.1484375,115158.1875,2384253.0,67077.84375,449999.21875,3405.0244140625,3693.383056640625,15979.7041015625,5700.81689453125,32052.828125,66436.859375,306261.59375,32574.7734375,75456.859375,10473.4326171875,2555.66796875,11146.1845703125,1901.925048828125,274918.90625,3256884.75,5643.66748046875,1202.926025390625,5269195.5,142035.4375,334621.3125,21393.828125,8467.9658203125,1179.253173828125,19459.20703125,8888.5029296875,15370.2216796875,1722657.25,335183.40625,387548.71875,58303.5703125,123866.5703125,2251476.75,32341.43359375,2571080.25,4879.14013671875,35472.62109375,1520.3243408203125,39762.19140625,11955.861328125,2173.52099609375,127985.6953125,1280.9385986328125,2721.790283203125,11063.1796875,4189.052734375,928749.375,26886.580078125,4280.56884765625,5796.41943359375,5042.18896484375,924259.25,113092.828125,22629.3359375,41571.44921875,560179.9375,263965.1875,104937.96875,8372.6572265625,7704.869140625,57873.47265625,207552.125,155909.921875,237834.765625,79300.5078125,597.2249755859375,28151.642578125,720.7833862304688,21064.951171875,328539.375,899790.875,41227.171875,538029.8125,751526.5,45007.3515625,85198.328125,123295.96875,7539.25634765625,12071.1435546875,18486.84765625,474975.65625,28189.171875,9890.693359375,2915984.0,18531220.0,42085.69140625,236032.765625,17610.9609375,13500.990234375
1967-01-01,450973.4375,149583.078125,970226.4375,247181.171875,61813.4140625,3191.984375,643156.5,4941.4951171875,21823.7421875,900.6829833984375,572879.5,2921.624755859375,5564.7744140625,1436.1031494140625,17839.76953125,1302806.75,7410.99560546875,5222.80419921875,121732.046875,2576358.75,70731.1484375,470384.65625,3675.269775390625,4079.7626953125,16801.318359375,6291.541015625,33358.70703125,68235.515625,322113.21875,31950.5234375,80289.0,10840.7724609375,2690.704833984375,12054.8408203125,2064.86376953125,287111.125,3435802.5,5849.50537109375,1266.14453125,5492957.5,142147.0,353423.34375,22521.5,8805.9990234375,1290.9468994140625,19489.708984375,9616.0947265625,16699.5625,1836464.75,332017.0,432516.75,60753.18359375,128232.5859375,2364906.75,33843.01953125,2870775.75,5207.42919921875,37008.57421875,1546.478271484375,40016.53515625,12016.85546875,2305.898681640625,134637.609375,1398.5830078125,2891.1298828125,11709.77734375,4288.087890625,1000606.0,28066.267578125,4532.3525390625,6336.9228515625,5264.5927734375,981533.125,117261.515625,24682.998046875,41324.91796875,595993.375,275656.71875,113682.6328125,9142.5419921875,8257.7236328125,60598.31640625,219391.171875,165940.375,251662.125,85159.609375,613.0518798828125,27855.630859375,743.77880859375,23078.453125,350428.65625,964376.4375,42774.421875,559841.125,778868.8125,46405.3125,95980.4921875,136706.6875,7605.701171875,12185.9404296875,19243.166015625,510417.84375,30762.1875,10648.9248046875,3055114.0,19263748.0,42367.546875,243465.265625,18471.515625,13451.7021484375
1968-01-01,458265.8125,155983.984375,1012568.6875,258694.015625,64692.234375,3366.101318359375,666524.0625,5327.8818359375,22477.71875,1065.4346923828125,606677.6875,2999.345458984375,5592.72998046875,1505.10498046875,18755.869140625,1361350.125,7556.5556640625,5490.9609375,130408.6640625,2714799.5,73823.5078125,495218.125,3868.710205078125,4414.42333984375,17530.826171875,6862.43896484375,34646.19140625,70181.9296875,339056.75,32075.162109375,84952.5859375,11128.853515625,2733.487060546875,12963.646484375,2358.01220703125,299429.1875,3633398.0,6063.08056640625,1349.665283203125,5758372.5,141268.703125,374770.84375,24201.697265625,9124.453125,1398.4573974609375,19593.6640625,10282.1953125,17683.49609375,1931677.25,332350.65625,492424.53125,64066.15625,131059.828125,2485635.25,35917.72265625,3242336.0,5763.7392578125,38997.18359375,1565.0264892578125,40252.4921875,12215.9169921875,2509.271484375,141532.84375,1497.5711669921875,3117.8896484375,12776.02734375,4310.91455078125,1096114.875,29115.2890625,4853.076171875,6924.01806640625,5498.2255859375,1046627.5,119636.1015625,26270.626953125,41178.58984375,624487.5625,284650.96875,120281.1328125,10021.30078125,8728.400390625,61588.3515625,230599.4375,176290.171875,272451.59375,91133.1796875,639.3240356445312,27666.50390625,769.6279907226562,25367.0234375,368867.0,1036212.875,44843.9609375,581102.5625,804396.6875,48487.91015625,108780.3359375,151452.359375,7633.7470703125,12452.5888671875,20027.828125,550072.9375,33591.9765625,11417.470703125,3209831.0,20015390.0,43012.88671875,255843.875,19332.892578125,13498.587890625
1969-01-01,470862.375,165282.265625,1064786.0,272342.09375,67055.6875,3538.676513671875,694188.0,5722.765625,23122.72265625,1139.007080078125,663457.3125,3114.099609375,5622.84716796875,1616.9739990234375,19481.294921875,1428233.25,7706.1875,5838.1611328125,139539.796875,2686236.25,76968.0703125,518482.84375,4046.83447265625,4696.51611328125,18469.98828125,7599.04736328125,36513.56640625,73534.375,359942.1875,34114.27734375,88579.9453125,11642.150390625,2809.89599609375,13766.61328125,2598.137939453125,313994.0,3850149.75,6317.35595703125,1448.3712158203125,6079359.0,142163.453125,406064.375,25119.2265625,9400.365234375,1529.299072265625,19825.05859375,10913.9873046875,18179.083984375,2035233.75,334461.90625,549441.125,68657.4375,137259.921875,2630342.0,38198.8984375,3679402.25,6745.65234375,41187.875,1580.3602294921875,40895.96484375,12462.302734375,2767.262451171875,147695.40625,1597.0704345703125,3373.057861328125,13553.294921875,4383.48291015625,1167923.375,30265.26953125,5252.662109375,7545.31494140625,5676.9072265625,1107145.625,124078.1953125,28132.369140625,40592.14453125,659778.4375,290798.53125,125930.53125,11041.1923828125,9240.0576171875,62861.40625,241755.328125,186317.625,291994.59375,97299.34375,658.3013916015625,27565.86328125,840.8314208984375,28765.671875,391341.46875,1122698.625,47541.81640625,605040.75,829765.9375,51549.1328125,122760.84375,169455.265625,7763.45556640625,12506.3671875,20849.7734375,589294.8125,35878.9140625,12399.2216796875,3353767.0,20760388.0,44410.4296875,268256.5,19750.576171875,13496.9765625
1970-01-01,491989.78125,175525.09375,1116205.875,289522.28125,69561.453125,3802.218017578125,726825.6875,6074.75048828125,23934.138671875,1417.2333984375,724634.4375,3240.474853515625,5587.787109375,1770.2415771484375,20824.845703125,1493499.375,7866.521484375,6257.18310546875,150597.375,2806860.0,80453.515625,547306.625,4383.29150390625,4956.3623046875,19656.705078125,8578.7734375,38208.21484375,76757.1953125,382182.65625,36440.28125,92849.84375,12224.0263671875,2914.64111328125,14377.15234375,2795.818115234375,337143.59375,4080021.0,6695.37646484375,1542.921875,6464985.5,145399.21875,440468.78125,26660.111328125,9719.3623046875,1770.02099609375,20457.72265625,11635.6806640625,18818.94140625,2143577.5,340644.71875,593993.5,72858.625,145633.265625,2865403.75,40624.234375,4217551.0,7272.8232421875,45092.95703125,1602.0457763671875,42253.91015625,12725.1328125,3201.306884765625,157569.5,1655.6915283203125,3615.9248046875,14560.5322265625,4391.900390625,1248040.375,32474.205078125,5855.73681640625,8391.2490234375,6054.71533203125,1179288.0,128957.9140625,30149.58984375,40577.09375,755269.6875,302917.0,135525.75,12684.31640625,9748.8701171875,63862.75390625,249763.4375,202332.34375,313158.96875,104467.3359375,684.8325805664062,27892.83984375,998.0306396484375,33458.15234375,420443.03125,1202771.5,50783.75,637021.125,866889.6875,53382.03515625,138158.78125,192298.078125,7965.75634765625,13065.1396484375,22049.37109375,645159.0625,40235.31640625,13077.0263671875,3497137.0,21404804.0,46188.9140625,289324.375,21232.509765625,13707.291015625
1971-01-01,508130.65625,186537.171875,1161893.75,310010.15625,70545.78125,3975.100341796875,760295.3125,6421.93017578125,24708.853515625,1901.0780029296875,788792.375,3767.00146484375,5687.3916015625,1915.5479736328125,21841.3515625,1556681.375,8069.01171875,6635.689453125,163514.5625,3028694.25,85351.6328125,575687.6875,4721.673828125,5289.10888671875,20976.640625,9564.802734375,40038.05078125,82004.1796875,402452.5625,36411.171875,97470.4375,12623.76171875,3066.8251953125,15019.0615234375,3091.46533203125,358422.28125,4291712.0,7086.083984375,1657.8697509765625,6672266.5,150798.0,473942.40625,28167.173828125,10059.361328125,1984.0394287109375,21085.80078125,12163.697265625,20201.92578125,2224958.0,349936.25,634682.3125,77515.421875,157670.0,3043862.75,42556.9609375,4691075.5,7849.47314453125,49213.90234375,1643.551513671875,43575.41015625,13081.60546875,3599.599365234375,168279.328125,1747.4150390625,3859.142822265625,15492.865234375,4438.890625,1317936.125,34449.859375,6425.33056640625,9222.6904296875,6516.2509765625,1229325.75,135069.0625,31995.126953125,40297.53515625,848430.375,319236.21875,143336.625,14424.005859375,10323.701171875,66183.9453125,244415.953125,219151.0,332600.96875,112958.46875,727.2581176757812,28076.181640625,1173.4981689453125,38884.05859375,453202.78125,1278424.5,53702.296875,667031.8125,908684.6875,55390.546875,157416.4375,213298.921875,8294.3974609375,14339.16015625,23383.126953125,688827.0,45377.7265625,13770.09765625,3502979.75,22058986.0,48383.96875,311883.9375,22347.568359375,13917.95703125
1972-01-01,527393.3125,196171.40625,1208341.25,331518.0625,69622.65625,4146.72705078125,793677.625,6961.50927734375,25506.923828125,2496.18212890625,864798.25,4048.78759765625,5603.10205078125,2061.07421875,22507.740234375,1618937.5,8240.0126953125,7022.74853515625,173163.875,3190418.75,90426.2109375,585988.5,5059.11328125,5627.193359375,22293.888671875,10437.7451171875,41932.265625,88279.71875,425208.78125,41522.29296875,102673.296875,13010.421875,3316.193115234375,15791.318359375,3408.367431640625,381090.25,4479961.0,7587.263671875,1678.0994873046875,6640179.0,148402.84375,521912.78125,29569.810546875,10406.1552734375,2163.178955078125,21925.162109375,12572.8603515625,21345.01953125,2251170.5,362934.3125,667878.625,82509.296875,171424.203125,3173252.25,44401.4375,5138159.5,8499.2431640625,53507.75,1695.1248779296875,44993.34765625,13214.8935546875,4104.08935546875,173076.40625,1917.354248046875,4120.48486328125,17047.783203125,4516.79736328125,1408791.875,35885.23046875,7013.83447265625,10017.2744140625,6942.89208984375,1244180.0,142291.8125,33444.484375,40401.70703125,950817.1875,333967.875,149780.5625,16597.859375,11005.9150390625,67945.3515625,223433.609375,238607.5,353281.59375,122432.2421875,794.8822021484375,28389.439453125,1348.3203125,44537.72265625,487088.625,1366169.625,57069.125,697153.125,950714.875,58396.33984375,179558.59375,232740.671875,8674.076171875,15218.3818359375,24967.6796875,743148.1875,49802.73828125,14412.7255859375,3341061.5,22805538.0,49032.18359375,338319.25,23553.037109375,14160.17578125
1973-01-01,548999.375,204491.28125,1255666.25,353166.25,70139.53125,4300.52978515625,835806.4375,7367.60107421875,26073.021484375,3120.589599609375,957868.25,4396.4423828125,5606.9375,2202.407958984375,23354.84765625,1685955.625,8481.0380859375,7372.18310546875,180975.046875,3435540.0,96049.7109375,588945.4375,5415.06396484375,5925.49365234375,23608.9453125,11574.0107421875,43861.04296875,93846.9765625,449655.53125,44201.9609375,108621.7109375,13703.787109375,3484.252685546875,16385.408203125,3743.531982421875,405321.84375,4681670.5,8176.07666015625,1713.068359375,6526419.0,148810.03125,576683.0,31089.623046875,10740.1083984375,2324.01171875,23045.5390625,13188.8935546875,22859.57421875,2247163.5,378728.5,698078.5,88515.6015625,185344.015625,3305078.25,46191.6640625,5622245.5,9260.1689453125,58788.1484375,1799.0782470703125,46647.35546875,13345.5888671875,5098.72998046875,176618.703125,2067.593017578125,4397.4208984375,18857.859375,4768.76123046875,1505229.375,37123.3203125,7608.0126953125,10783.1728515625,7497.205078125,1256282.5,150141.625,35756.1015625,41185.7421875,1070860.375,349337.4375,155884.328125,18611.82421875,12004.916015625,72099.34375,203447.203125,259708.953125,381583.5625,132854.609375,854.7871704101562,28606.04296875,1528.91455078125,50056.5703125,520634.15625,1477654.125,61299.3828125,723858.1875,987310.875,60896.28515625,202125.984375,252518.609375,9025.232421875,15830.0810546875,26448.26953125,800140.125,53696.64453125,14933.1123046875,3167423.25,23631974.0,50550.6953125,366837.75,24463.724609375,14508.466796875
1974-01-01,580054.25,213876.84375,1284884.625,373988.5625,75181.8359375,4495.42333984375,880167.125,7832.9599609375,26818.3515625,3515.819091796875,1065858.25,4815.564453125,5740.1650390625,2350.225341796875,24541.5078125,1767050.125,8549.64453125,7958.61962890625,189577.40625,3726089.0,101043.53125,595281.9375,5789.73486328125,6249.1982421875,25051.083984375,12501.81640625,44463.89453125,101692.734375,470662.65625,48337.58203125,113507.359375,14525.7041015625,3702.321533203125,16857.912109375,3985.954833984375,430640.21875,4894747.0,10321.546875,1730.8165283203125,6440148.0,154215.734375,608983.25,32561.416015625,11124.8193359375,2455.488037109375,24567.130859375,13970.8173828125,24730.181640625,2242724.5,399970.09375,744364.375,92814.2109375,197778.59375,3458042.75,47361.03125,6105078.0,10224.2138671875,63356.56640625,1878.38818359375,47933.41015625,13571.3642578125,6012.13037109375,185599.046875,2184.29052734375,4709.72265625,20949.46875,5021.7939453125,1619596.375,38129.12890625,8256.4150390625,11632.724609375,8066.9794921875,1274045.875,160853.203125,38876.1015625,42017.1953125,1164017.625,367133.875,163412.703125,20247.4296875,13183.1845703125,78531.65625,192568.25,277808.21875,417530.6875,147599.125,927.635498046875,28970.189453125,1706.7532958984375,55670.8046875,556200.6875,1587656.5,65746.421875,751206.375,1021792.8125,65222.5,226387.328125,271504.90625,9438.3515625,17176.125,28352.962890625,896270.875,57462.16015625,15404.4296875,3044661.0,24335790.0,52348.75390625,394107.625,25330.078125,15017.3623046875
1975-01-01,619113.0625,222502.546875,1312046.75,392269.21875,78044.5546875,4681.845703125,917487.3125,8252.966796875,27748.478515625,3805.16015625,1181210.5,5142.05224609375,5780.4111328125,2448.617919921875,25663.8359375,1852945.625,8571.28125,8856.05859375,188693.296875,3994198.5,106374.0625,601894.25,6177.87109375,6594.01416015625,26387.873046875,13606.220703125,44106.578125,107433.3359375,486622.25,52736.86328125,120002.1015625,15604.01953125,4046.346923828125,17388.8359375,4288.578125,452447.34375,5087866.5,12951.76171875,1774.515625,6498482.0,157098.28125,635652.4375,34231.83984375,11494.650390625,2576.507080078125,26106.7578125,14832.8251953125,26196.74609375,2235128.5,423977.8125,832189.25,96598.265625,209496.265625,3611263.5,48721.9296875,6625797.0,11210.29296875,66426.5625,2011.8992919921875,48933.37109375,13749.5478515625,7313.5126953125,196295.265625,2364.327880859375,5089.10302734375,22809.345703125,5468.41943359375,1745188.125,43141.609375,8882.6162109375,12469.1640625,9024.611328125,1308866.25,168159.578125,41421.16015625,42346.12890625,1295146.375,388559.03125,170542.671875,21990.32421875,14209.20703125,84067.7578125,198790.421875,291415.96875,450813.8125,165439.453125,1037.1348876953125,29301.107421875,1880.2615966796875,61661.59375,594872.75,1697416.5,68727.7421875,780743.75,1047525.625,71731.65625,257158.96875,289038.15625,10066.81640625,18972.513671875,30819.408203125,997767.0,61251.140625,15823.1904296875,3012716.0,24870738.0,53357.68359375,430388.8125,26270.09765625,15410.2646484375
1976-01-01,660831.3125,229548.109375,1346795.75,409228.34375,81503.9765625,4982.4921875,943647.3125,8476.7236328125,28625.705078125,4002.281494140625,1281700.5,5436.177734375,5912.58349609375,2543.15380859375,26906.369140625,1934439.25,8547.66796875,9607.818359375,192205.859375,4218314.0,112113.1484375,602770.0,6549.443359375,6911.03857421875,28141.33984375,15046.44921875,43993.08984375,111224.6484375,502244.125,54280.30859375,126972.1484375,17886.953125,4372.0078125,17671.857421875,4547.6474609375,472278.09375,5313688.0,16771.990234375,1898.63671875,6702034.0,156857.71875,668765.375,36881.43359375,11894.755859375,2713.2431640625,27903.103515625,15633.1787109375,27482.6484375,2255409.5,447842.25,935769.75,103435.1484375,217772.078125,3810655.0,48932.5625,7237543.0,12558.7216796875,67136.46875,2235.846923828125,50329.71875,13778.0859375,7706.099609375,210801.171875,2511.66943359375,5588.505859375,25591.8125,5858.40087890625,1789080.625,49214.8046875,9506.3095703125,13220.064453125,9997.1220703125,1343285.25,172317.40625,44009.7890625,42670.52734375,1485551.5,410583.15625,180977.359375,23620.298828125,15771.521484375,87503.6875,214728.15625,304453.15625,465148.65625,181542.921875,1135.7374267578125,29481.0234375,2081.352294921875,67020.7109375,628815.125,1833263.375,69074.21875,802178.5625,1056977.25,76069.2578125,285949.34375,304946.21875,10552.224609375,20849.51953125,33570.4140625,1124247.875,65213.578125,16174.2451171875,3053503.5,25505044.0,56393.61328125,477904.3125,26425.3671875,15552.0185546875
